"2020/09/27 03:51:30.166923 GMT-3";"";"";"";"";"";"";"";"";"";""
"Tipo normativo";"Norma";"Publicação";"Ementa";"Data";"Em vigor";"Revogada";"Tornada sem efeito";"Alterada";"Outros";"Anexos"
"RBAC";"RBAC 023 EMD 64";"07/08/2019";"Requisitos de aeronavegabilidade: aviões categoria normal.";"07/08/2019";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-023@@download/arquivo_norma/RBAC23EMD64.pdf"
"RBAC";"RBAC 65 EMD 00";"25/05/2018";"Licenças, habilitações e regras gerais para despachante operacional de voo e mecânico de manutenção aeronáutica";"25/05/2018";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-65@@download/arquivo_norma/RBAC65EMD00.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-65@@download/anexo_norma/PA2018-3159 - CEF RBAC nº 65.pdf"
"RBAC";"RBAC 155 EMD 00";"25/05/2018";"Helipontos.";"25/05/2018";"Em vigor em 21 de novembro de 2018.";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-155@@download/arquivo_norma/RBAC155EMD00.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-155@@download/anexo_norma/CEF RBAC 155 e Perguntas e Respostas.zip"
"RBAC";"RBAC 103 EMD 00";"08/06/2018";"Operação Aerodesportiva em Aeronaves sem Certificado de Aeronavegabilidade.";"08/06/2018";"";"";"";"";"Retificado no Diário Oficial da União de 20 de junho de 2018, Seção 1, página 54.";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-103@@download/arquivo_norma/RBAC103_EMD00 - Retificado.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-103@@download/anexo_norma/CEF RBAC 103.pdf"
"RBAC";"RBAC 183 EMD 01";"08/06/2018";"Credenciamento de pessoas.
";"08/06/2018";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-183@@download/arquivo_norma/RBAC183_EMD01.pdf"
"RBAC";"RBAC 035 EMD 10";"07/08/2019";"Requisitos de Aeronavegabilidade: Hélices.";"07/08/2019";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-035@@download/arquivo_norma/RBAC35EMD10.pdf"
"RBAC";"RBAC 129 EMD 01";"31/08/2018.";"Operação de empresas estrangeiras que têm por objetivo o transporte aéreo público no Brasil (Operations of foreign air carriers within Brazil engaged in common carriage).";"31/08/2018";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-129@@download/arquivo_norma/RBAC129EMD01.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-129@@download/anexo_norma/CEF RBAC nº 129.pdf"
"RBAC";"RBAC 45  EMD 04";"24/06/2020";"Marcas de Identificação, de Nacionalidade e de Matrícula.";"24/06/2020";"Em vigor em 1º de julho de 2020.";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-045@@download/arquivo_norma/RBAC45EMD04.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-045@@download/anexo_norma/CEF RBAC 45.pdf"
"RBAC";"RBAC 107 EMD 02";"18/12/2018";"Segurança da aviação civil contra atos de interferência ilícita – Operador de aeródromo.";"18/12/2018";"Em vigor em 17 de maio de 2019.";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-107@@download/arquivo_norma/RBAC107EMD02.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-107@@download/anexo_norma/CEF RBAC 107.pdf"
"RBAC";"RBAC 108 EMD 02";"18/12/2018";"Segurança da aviação civil contra atos de interferência ilícita - Operador aéreo.";"18/12/2018";"Em vigor em 17 de maio de 2019.";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-108@@download/arquivo_norma/RBAC108EMD02.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-108@@download/anexo_norma/PA2020-0985 - CEF RBAC 108.pdf"
