"2020/09/27 03:51:30.800147 GMT-3";"";"";"";"";"";"";"";"";"";""
"Tipo normativo";"Norma";"Publicação";"Ementa";"Data";"Em vigor";"Revogada";"Tornada sem efeito";"Alterada";"Outros";"Anexos"
"RBHA";"RBHA E88";"";"Requisitos para avaliação de tolerância para falhas do sistema de tanques de combustível ";"18/10/2002";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbha/rbha-e88@@download/arquivo_norma/rbha088.pdf"
"RBHA";"RBHA E92A";"";"Projeto de portas e normas de acesso à cabine dos pilotos ";"07/02/2002";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbha/rbha-e92a@@download/arquivo_norma/rbha092.pdf"
"RBHA";"RBHA E93";"";"Projeto de portas e normas de acesso à cabine de pilotos (complementa o RBHA-E 92a de 07 de fevereiro de 2002)";"16/07/2002";"";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbha/rbha-e93@@download/arquivo_norma/rbha093.pdf"
"RBHA";"RBHA 063";"12/04/2019";"Mecânico de voo e comissário de voo";"12/04/2019";"Em vigor em 11 de julho de 2019.";"";"";"";"";"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbha/rbha-063-1@@download/arquivo_norma/RBHA063 - Compilado até RA2019-0512.pdf"
